Date,Open,High,Low,Close,Adj Close,Volume
2023-03-30,112.000000,112.220001,110.440002,110.739998,107.931030,3276897
2023-03-31,110.800003,111.860001,110.639999,111.459999,108.632767,3901691
2023-04-03,111.300003,112.099998,111.199997,112.099998,109.256538,2847212
2023-04-04,112.400002,112.400002,111.199997,111.300003,108.476830,2705929
2023-04-05,110.940002,112.860001,110.879997,112.839996,109.977760,2709138
2023-04-06,113.000000,113.820000,112.360001,113.720001,110.835449,2320649
2023-04-11,113.800003,113.839996,112.339996,113.419998,110.543053,2898477
2023-04-12,113.040001,113.800003,112.239998,112.940002,110.075233,2723616
2023-04-13,112.639999,112.760002,111.400002,111.620003,108.788719,4125219
2023-04-14,112.339996,113.220001,112.160004,112.980003,110.114220,2698951
2023-04-17,113.099998,113.820000,112.500000,113.599998,110.718491,2700250
2023-04-18,113.860001,114.000000,113.099998,114.000000,111.108345,2228921
2023-04-19,114.199997,114.400002,113.699997,114.300003,111.400734,3458389
2023-04-20,114.220001,114.959999,113.820000,114.739998,111.829567,2533161
2023-04-21,114.760002,116.540001,114.519997,116.300003,113.350006,4619865
2023-04-24,114.059998,114.660004,113.400002,114.660004,114.660004,7037055
2023-04-25,116.300003,116.839996,114.720001,115.519997,115.519997,6149465
2023-04-26,115.000000,115.739998,114.400002,115.040001,115.040001,6367888
2023-04-27,114.680000,115.239998,113.519997,113.699997,113.699997,4047816
2023-04-28,113.699997,115.160004,113.699997,114.519997,114.519997,3855580
2023-05-02,114.400002,115.279999,114.160004,114.559998,114.559998,2653496
2023-05-03,115.260002,116.239998,115.139999,116.120003,116.120003,4074404
2023-05-04,115.660004,115.900002,115.220001,115.599998,115.599998,3390719
2023-05-05,115.940002,116.480003,115.440002,116.459999,116.459999,2524401
2023-05-08,116.220001,116.519997,115.919998,116.379997,116.379997,1716713
2023-05-09,116.500000,116.620003,115.779999,116.419998,116.419998,2636733
2023-05-10,115.980003,116.019997,113.980003,114.580002,114.580002,3060064
2023-05-11,114.620003,115.379997,114.339996,115.180000,115.180000,5372894
2023-05-12,115.500000,115.739998,114.599998,114.980003,114.980003,1816330
2023-05-15,115.180000,115.860001,114.559998,114.860001,114.860001,2058386
2023-05-16,114.800003,115.080002,113.940002,114.459999,114.459999,1935324
2023-05-17,114.260002,114.480003,113.099998,113.279999,113.279999,3783482
2023-05-19,113.500000,114.239998,113.300003,113.820000,113.820000,2991419
2023-05-22,113.800003,113.959999,112.660004,112.959999,112.959999,2455417
2023-05-23,112.620003,113.279999,112.239998,112.419998,112.419998,3333986
2023-05-24,112.540001,112.919998,112.019997,112.220001,112.220001,2608579
2023-05-25,112.260002,112.260002,110.580002,111.300003,111.300003,2269153
2023-05-26,111.300003,112.379997,110.900002,112.059998,112.059998,2077326
2023-05-30,111.699997,111.820000,108.220001,108.339996,108.339996,5794559
2023-05-31,108.059998,109.580002,107.639999,107.900002,107.900002,10561949
2023-06-01,108.339996,109.480003,108.120003,108.779999,108.779999,2757102
2023-06-02,108.839996,109.620003,108.599998,109.599998,109.599998,2449293
2023-06-05,109.860001,109.860001,108.599998,108.779999,108.779999,1921363
2023-06-06,108.540001,109.540001,108.300003,109.160004,109.160004,2639282
2023-06-07,108.699997,109.160004,107.820000,107.820000,107.820000,3617118
2023-06-08,107.639999,107.879997,107.000000,107.000000,107.000000,3006770
2023-06-09,107.540001,107.540001,106.480003,107.160004,107.160004,2423038
2023-06-12,107.519997,107.980003,107.099998,107.160004,107.160004,2787394
2023-06-13,107.099998,107.320000,106.120003,106.639999,106.639999,2684618
2023-06-14,106.800003,107.699997,106.519997,106.519997,106.519997,3881265
2023-06-15,106.839996,108.559998,106.680000,107.919998,107.919998,3101240
2023-06-16,107.059998,109.160004,107.059998,108.059998,108.059998,9952340
2023-06-19,108.320000,108.779999,107.660004,108.000000,108.000000,2212422
2023-06-20,107.839996,108.580002,107.360001,107.360001,107.360001,2831516
2023-06-21,107.379997,108.260002,107.379997,108.099998,108.099998,2913229
2023-06-22,107.879997,108.400002,107.320000,108.180000,108.180000,2258377
2023-06-23,108.580002,109.339996,108.300003,108.779999,108.779999,2579099
2023-06-26,108.599998,109.000000,108.000000,108.000000,108.000000,2159665
2023-06-27,108.500000,108.500000,107.680000,107.900002,107.900002,2059461
2023-06-28,107.760002,108.139999,106.160004,106.980003,106.980003,3179063
