"date,time,abbreviation_canton,ncumul_conf,current_hosp,new_hosp,current_icu,ncumul_released,ncumul_deceased,nneg_test,num_isolated,total_vaccinations,first_doses,second_doses,third_doses,booster_first,booster_second,doses_delivered,source"
"2020-06-30,10:00,TG,399,3,1,1,70,18,474,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-01,10:00,TG,402,2,0,0,71,19,332,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-02,10:00,TG,403,2,0,0,71,19,287,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-03,10:00,TG,403,2,0,0,71,19,309,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-04,10:00,TG,404,2,0,0,71,19,188,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-05,10:00,TG,405,2,0,1,71,19,57,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-06,10:00,TG,405,2,0,1,71,19,199,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-07,10:00,TG,407,3,1,1,71,19,254,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-08,10:00,TG,411,3,0,1,71,19,235,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-09,10:00,TG,411,4,1,1,71,19,189,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-10,10:00,TG,411,4,0,1,71,19,189,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-11,10:00,TG,412,4,0,1,71,19,115,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-12,10:00,TG,413,3,0,1,72,19,36,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-13,10:00,TG,414,4,1,1,72,19,170,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-14,10:00,TG,417,4,0,1,72,19,198,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-15,10:00,TG,425,4,0,0,72,19,182,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-16,10:00,TG,428,4,0,0,72,19,187,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-17,10:00,TG,431,4,0,0,72,19,144,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-18,10:00,TG,433,5,1,0,72,19,77,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-19,10:00,TG,437,5,0,0,72,19,50,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-20,10:00,TG,437,2,0,0,75,19,127,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-21,10:00,TG,440,2,0,0,75,19,193,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-22,10:00,TG,444,2,0,0,75,19,147,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-23,10:00,TG,446,2,1,0,76,19,143,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-24,10:00,TG,449,1,0,0,77,19,146,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-25,10:00,TG,453,1,0,0,77,19,75,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-26,10:00,TG,455,1,0,0,77,19,63,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-27,10:00,TG,456,1,0,0,77,19,91,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-28,10:00,TG,459,0,0,0,78,20,155,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-29,10:00,TG,462,2,2,0,78,20,153,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-30,10:00,TG,466,2,0,1,78,20,166,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-07-31,10:00,TG,468,2,0,1,78,20,110,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-01,10:00,TG,469,2,0,1,78,20,59,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-02,10:00,TG,471,2,0,1,78,20,49,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-03,10:00,TG,472,2,0,1,78,20,188,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-04,10:00,TG,473,2,0,1,78,20,171,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-05,10:00,TG,476,2,0,1,78,20,168,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
